AV PID,Street Name,Street Number,Map,Lot,Land Area in Acres,Fiscal Year, Total Assessed Land Value , Total Appraised Improvements , Total Appraised Parcel Value ,Sale Date,Book/Page,Q U,Val Code,I V, Price ,Owner Occupied,Use Code,Use Descript, Effective Area , Gross Area , Living Area ,Year Built,,Style,Stories,Occupancy,Roof,Exterior Wall,Heat,Fuel,A/C,Room Count,Bedrooms,Baths,Half Baths,Grade
3883,ADDISON ST,41,56,127,0.09182736,2018," $158,200 "," $189,500 "," $347,700 ",7/30/2009, 45305/ 261,U,1S,I," $185,000 ",Y,1040,TWO FAMILY  ," 2,213 "," 3,632 "," 1,849 ",1900,2F,2 Family,2,2,Gable/Hip,Vinyl Siding,Hot Water,Gas,None,,6,2,0,Average
3885,ADDISON ST,44,56,131,0.07568871,2018," $145,200 "," $200,500 "," $345,700 ",1/11/2005, 36287/ 059,U,1A,I, $100 ,,1040,TWO FAMILY  ," 2,785 "," 4,592 "," 2,340 ",1880,2F,2 Family,2,2,Gable/Hip,Asbest Shingle,Hot Water,Oil,None,10 Rooms,6,2,0,Average
3882,ADDISON ST,45,56,126,0.087236,2018," $154,500 "," $348,200 "," $502,700 ",12/31/2009, 45921/ 164,U,1O,I," $176,000 ",,1050,THREE FAM," 3,120 "," 4,620 "," 2,850 ",1900,3F,3 Family,2.5,3,Gable/Hip,Vinyl Siding,Hot Water,Gas,None,14 Rooms,8,3,0,Average
3886,ADDISON ST,46,56,132,0.07651515,2018," $145,900 "," $183,800 "," $329,700 ",12/30/1997, 22035/ 057,U,,I," $22,500 ",Y,1040,TWO FAMILY  ," 2,873 "," 5,154 "," 2,474 ",1900,2F,2 Family,2,2,Gable/Hip,Asbest Shingle,Hot Water,Oil,None,11 Rooms,4,2,0,Average
3887,ADDISON ST,48,56,133,0.08140496,2018," $149,800 "," $252,400 "," $402,200 ",9/1/2011,   638/ 113,Q,0,I," $290,000 ",Y,1040,TWO FAMILY  ," 2,982 "," 5,130 "," 2,699 ",1900,2F,2 Family,2,2,Gable/Hip,Asphalt,Hot Water,Gas,None,,5,2,0,Average
3888,ADDISON ST,50,56,134,0.05785124,2018," $129,500 "," $173,000 "," $302,500 ",10/31/2007, 42673/ 100,U,1O,I," $150,000 ",,1040,TWO FAMILY  ," 2,279 "," 3,295 "," 2,006 ",1900,2F,2 Family,2,2,Flat,Vinyl Siding,Hot Water,Gas,None,,4,2,0,Average
3881,ADDISON ST,51,56,125,0.05732323,2018," $129,000 "," $261,600 "," $390,600 ",7/29/2016, 56513/  20,Q,0,I," $410,000 ",,1040,TWO FAMILY  ," 2,858 "," 4,422 "," 2,580 ",1900,2F,2 Family,2.5,2,Gable/Hip,Vinyl Siding,Hot Water,Gas,None,10 Rooms,6,2,0,Average
3889,ADDISON ST,52,56,135,0.09439853,2018," $160,300 "," $224,900 "," $385,200 ",8/16/1989, 15757/ 304,U,,, $-   ,Y,1040,TWO FAMILY  ," 3,164 "," 5,063 "," 2,748 ",1900,2F,2 Family,2,2,Gable/Hip,Wood Shingle,Hot Water,Gas,None,,4,2,0,Average
3880,ADDISON ST,53,56,124,0.05950413,2018," $131,100 "," $204,900 "," $336,000 ",5/22/2009,DC2817,U,1A,I, $-   ,Y,1040,TWO FAMILY  ," 2,757 "," 4,580 "," 2,381 ",1900,2F,2 Family,2,2,Gable/Hip,Vinyl Siding,Hot Water,Oil,None,12 Rooms,6,2,0,Average
3890,ADDISON ST,54,56,136,0.09348026,2018," $183,500 "," $360,200 "," $543,700 ",6/30/2005, 37449/ 049,Q,0,I," $586,000 ",Y,1110,APT 4-UNT  ," 4,776 "," 6,622 "," 4,324 ",1900,4F,Apt 4,2,4,Flat,Vinyl Siding,Electr Basebrd,Electric,None,22 Rooms,9,4,0,Average
3879,ADDISON ST,55,56,123,0.062764,2018," $134,000 "," $159,500 "," $293,500 ",7/31/2003, 32256/ 168,Q,0,I," $310,000 ",Y,1010,Single Fam," 2,372 "," 4,241 "," 2,028 ",1900,6,Conventional,2,1,Gable/Hip,Vinyl Siding,Hot Water,Gas,None,9 Rooms,4,2,0,Average
3891,ADDISON ST,56,56,137,0.05617539,2018," $128,000 "," $155,400 "," $283,400 ",7/1/2016, 56372/ 116,U,1A,I, $1 ,,1010,Single Fam," 2,099 "," 3,640 "," 1,854 ",1900,6,Conventional,2,1,Gable/Hip,Vinyl Siding,Hot Water,Gas,None,10 Rooms,4,1,1,Average
3878,ADDISON ST,57,56,122,0.06604683,2018," $137,100 "," $193,200 "," $330,300 ",11/2/1983, 10618/  76,U,,, $-   ,Y,1040,TWO FAMILY  ," 2,402 "," 4,089 "," 2,184 ",1900,2F,2 Family,2,2,Gable/Hip,Vinyl Siding,Hot Water,Oil,None,,3,3,0,Average
3892,ADDISON ST,58,56,138,0.05181359,2018," $9,900 ", $200 ," $10,100 ",8/19/2002, 29154/ 240,U,1G,V," $271,500 ",,1060,AC LND IMP  ," 6,565 "," 8,022 "," 5,246 ",1880,14,Apt 5-8,2,6,Flat,Brick/Masonry,Hot Water,Gas,None,,0,0,,Average +10
3892,ADDISON ST,58,56,138,0.05181359,2018," $9,900 ", $200 ," $10,100 ",8/19/2002, 29154/ 240,U,1G,V," $271,500 ",,1060,AC LND IMP  ,,,,,,,,,,,,,,,,,,
3877,ADDISON ST,59,56,121,0.06932966,2018," $140,000 "," $253,300 "," $393,300 ",7/31/2006, 40094/ 324,Q,0,I," $420,000 ",Y,1040,TWO FAMILY  ," 2,635 "," 4,508 "," 2,372 ",1900,2F,2 Family,2,2,Gable/Hip,Vinyl Siding,Hot Water,Gas,None,,7,3,0,Average
3820,ADDISON ST,64,56,57,0.07300275,2018," $143,000 "," $255,600 "," $398,600 ",7/15/2016, 56437/  058,U,1A,I, $1 ,Y,1040,TWO FAMILY  ," 3,898 "," 6,468 "," 3,492 ",1900,10,Duplex,2.75,2,Gable/Hip,Vinyl Siding,Hot Water,Gas,None,12 Rooms,8,2,1,Average
3842,ADDISON ST,69,56,79,0.0785124,2018," $147,400 "," $361,700 "," $509,100 ",3/31/2014, 52811/  89,Q,0,I," $425,000 ",,1050,THREE FAM," 4,203 "," 5,676 "," 3,834 ",1900,3F,3 Family,3,3,Flat,Vinyl Siding,Hot Water,Oil,None,11 Rooms,9,3,0,Average
3821,ADDISON ST,70,56,58,0.06887052,2018," $139,700 "," $259,800 "," $399,500 ",2/10/2017, 57548/ 248,Q,0,I," $415,000 ",,1010,Single Fam," 1,883 "," 2,577 "," 1,712 ",2016,3,Colonial,2,1,Gable/Hip,Vinyl Siding,Hot Water,Gas,Central,,3,2,1,Average
3841,ADDISON ST,71,56,78,0.06198347,2018," $133,300 "," $122,500 "," $255,800 ",7/22/1997, 21576/ 057,U,,I, $-   ,Y,1010,Single Fam," 1,816 "," 3,046 "," 1,644 ",1895,6,Conventional,2,1,Gable/Hip,Vinyl Siding,Forced Air-Duc,Gas,None,,4,1,0,Average
3822,ADDISON ST,72,56,59,0.04820937,2018," $120,700 "," $172,100 "," $292,800 ",1/13/2010, 45961/ 330,Q,0,I," $200,000 ",,1040,TWO FAMILY  ," 2,250 "," 3,286 "," 1,990 ",1900,2F,2 Family,2,2,Flat,Vinyl Siding,Hot Water,Gas,None,,5,2,0,Average
3840,ADDISON ST,73,56,77,0.05165289,2018," $123,800 "," $153,200 "," $277,000 ",9/4/2002, 29284/ 214,Q,0,I," $248,000 ",Y,1010,Single Fam," 1,921 "," 2,532 "," 1,626 ",1900,6,Conventional,2,1,Gable/Hip,Wood Shingle,Hot Water,Gas,None,,3,2,1,Average
3823,ADDISON ST,74,56,60,0.04820937,2018," $120,700 "," $314,800 "," $435,500 ",8/22/2002, 29177/ 346,Q,0,I," $232,000 ",Y,1010,Single Fam," 2,195 "," 3,684 "," 2,006 ",2013,6,Conventional,2,1,Gable/Hip,Vinyl Siding,Forced Air-Duc,Gas,Central,,3,2,0,Average
3839,ADDISON ST,75,56,76,0.05165289,2018," $123,800 "," $216,300 "," $340,100 ",7/18/2014, 53239/  34,U,1O,I," $202,000 ",,1040,TWO FAMILY  ," 2,637 "," 4,676 "," 2,355 ",1900,2F,2 Family,2,2,Gable/Hip,Wood Shingle,Steam,Gas,None,,4,2,0,Average
3824,ADDISON ST,76,56,61,0.04820937,2018," $120,700 "," $165,900 "," $286,600 ",7/2/2014, 53179/ 105,Q,0,I," $300,000 ",,1040,TWO FAMILY  ," 2,138 "," 3,717 "," 1,762 ",1900,2F,2 Family,2,2,Gable/Hip,Vinyl Siding,Hot Water,Gas,None,,6,2,0,Average
3838,ADDISON ST,77,56,75,0.10330579,2018," $167,500 "," $194,300 "," $361,800 ",4/14/1997, 21331/ 178,U,1A,I, $1 ,Y,1040,TWO FAMILY  ," 2,618 "," 4,616 "," 2,166 ",1900,2F,2 Family,2,2,Gable/Hip,Aluminum Sidng,Steam,Gas,None,,4,2,0,Average
103742,ADDISON ST,78,56,    62A,0,2018, $-   ," $176,800 "," $176,800 ",5/29/2008, 43598/ 337,Q,0,I," $152,500 ",Y,1021,Condo  ," 1,043 "," 1,043 "," 1,043 ",1900,55,Condominium,1,1,Flat,Vinyl Siding,Forced Air-Duc,Gas,None,,3,1,0,Average
103743,ADDISON ST,78,56,    62C,0,2018, $-   ," $194,200 "," $194,200 ",7/23/2007, 42182/ 341,Q,0,I," $205,000 ",Y,1021,Condo  ," 1,040 "," 1,040 "," 1,040 ",1900,55,Condominium,1,1,Flat,Vinyl Siding,Forced Air-Duc,Gas,None,,3,1,0,Average
103744,ADDISON ST,78,56,    62B,0,2018, $-   ," $174,100 "," $174,100 ",4/28/2008, 43447/ 275,Q,0,I," $142,500 ",,1021,Condo  ," 1,015 "," 1,015 "," 1,015 ",1900,55,Condominium,1,1,Flat,Vinyl Siding,Forced Air-Duc,Gas,None,,3,1,0,Average
3826,ADDISON ST,80,56,63,0.04981635,2018," $122,100 "," $264,300 "," $386,400 ",8/12/2015, 54909/ 128,Q,0,I," $439,500 ",,1040,TWO FAMILY  ," 2,271 "," 3,105 "," 2,022 ",1900,2F,2 Family,2,2,Flat,Vinyl Siding,Forced Air-Duc,Gas,None,,5,2,0,Average
3837,ADDISON ST,81,56,74,0.10330579,2018," $167,500 "," $303,800 "," $471,300 ",5/21/2004, 34579/ 235,Q,0,I," $450,000 ",Y,1050,THREE FAM," 3,451 "," 5,315 "," 3,152 ",1890,3F,3 Family,2.5,3,Gable/Hip,Vinyl Siding,Forced Air-Duc,Oil,None,13 Rooms,8,3,0,Average
3836,ADDISON ST,83,56,73,0.10330579,2018," $167,500 "," $388,900 "," $556,400 ",7/16/1999, 23992/ 298,Q,0,I," $175,000 ",Y,1050,THREE FAM," 4,270 "," 5,372 "," 3,957 ",1900,3F,3 Family,3,3,Flat,Vinyl Siding,Hot Water,Gas,None,,9,4,0,Average
3827,ADDISON ST,84,56,64,0.10123967,2018," $165,900 "," $300,300 "," $466,200 ",11/24/1994, 19612/ 091,U,,I, $1 ,,1050,THREE FAM," 3,579 "," 4,478 "," 3,336 ",1900,3F,3 Family,3,3,Flat,Vinyl Siding,Hot Water,Oil,None,,11,3,0,Average
3835,ADDISON ST,87,56,72,0.10330579,2018," $167,500 "," $151,000 "," $318,500 ",6/19/1978,  9066/ 119,U,,, $-   ,Y,1040,TWO FAMILY  ," 2,258 "," 3,919 "," 1,976 ",1900,6,Conventional,2,1,Gable/Hip,Clapboard,Forced Air-Duc,Gas,None,7 Rooms,3,2,0,Average
3828,ADDISON ST,88,56,65,0.09963269,2018," $164,500 "," $270,500 "," $435,000 ",5/5/2016, 56079/  65,U,1A,I, $1 ,Y,1050,THREE FAM," 3,002 "," 4,159 "," 2,712 ",1900,3F,3 Family,3,3,Flat,Vinyl Siding,Hot Water,Gas,None,,6,3,0,Average
3834,ADDISON ST,91,56,71,0.109045,2018," $172,100 "," $228,800 "," $400,900 ",9/3/2002, 29271/ 072,Q,0,I," $305,000 ",,1040,TWO FAMILY  ," 3,123 "," 4,947 "," 2,774 ",1900,2F,2 Family,2,2,Gable/Hip,Clapboard,Hot Water,Gas,None,,6,2,0,Average
3829,ADDISON ST,92,56,66,0.08034894,2018," $148,900 "," $137,100 "," $286,000 ",11/1/2002, 29735/ 161,U,1H,I," $190,000 ",Y,1010,Single Fam," 1,770 "," 3,208 "," 1,500 ",1900,6,Conventional,2,1,Gable/Hip,Wood Shingle,Forced Air-Duc,Oil,None,,3,2,0,Average
103459,ADDISON ST,96,56,   67U1,0,2018, $-   ," $248,500 "," $248,500 ",11/20/2017, 58823/ 241,U,1A,I," $200,000 ",,1021,Condo  ," 1,342 "," 1,401 "," 1,335 ",1880,55,Condominium,1,1,Gable/Hip,Vinyl Siding,Forced Air-Duc,Gas,None,,2,1,0,Average +10
103460,ADDISON ST,96,56,   67U3,0,2018, $-   ," $355,600 "," $355,600 ",12/30/2005, 38782/ 020,Q,0,I," $339,000 ",Y,1021,Condo  ," 1,959 "," 2,802 "," 1,779 ",1880,55,Condominium,1,1,Gable/Hip,Vinyl Siding,Forced Air-Duc,Gas,None,,3,1,1,Average +10
103461,ADDISON ST,96,56,   67U2,0,2018, $-   ," $287,800 "," $287,800 ",6/28/2013, 51709/ 273,Q,0,I," $282,000 ",,1021,Condo  ," 1,440 "," 1,526 "," 1,430 ",1880,55,Condominium,1,1,Gable/Hip,Vinyl Siding,Forced Air-Duc,Gas,None,,2,1,0,Average +10
3831,ADDISON ST,98,56,68,0.10651974,2018, $-   , $-   , $-   ,12/28/2005, 38764/ 128,U,1N,V, $-   ,,9960,CONDO COMMON, 624 , 624 , 624 ,1991,30,Restaurant,1,1,Gable/Hip,Vinyl Siding,Forced Air-Duc,Gas,None,,0,0,,Average
3831,ADDISON ST,98,56,68,0.10651974,2018, $-   , $-   , $-   ,12/28/2005, 38764/ 128,U,1N,V, $-   ,,9960,CONDO COMMON,,,,,,,,,,,,,,,,,,
4318,ADDISON ST,101,64,31,0.10330579,2018," $167,500 "," $274,800 "," $442,300 ",11/21/1997, 21919/ 306,Q,0,I," $146,000 ",,1050,THREE FAM," 3,481 "," 4,188 "," 3,098 ",1900,3F,3 Family,3,3,Flat,Aluminum Sidng,Hot Water,Gas,None,,9,3,0,Average
3832,ADDISON ST,102,56,69,0.05371901,2018," $125,700 "," $196,300 "," $322,000 ",10/20/1994, 19388/ 043,U,,, $-   ,Y,1040,TWO FAMILY  ," 2,351 "," 3,870 "," 2,059 ",1900,2F,2 Family,2,2,Gable/Hip,Vinyl Siding,Forced Air-Duc,Oil,None,,6,2,0,Average
4477,ADDISON ST,106,64,164,0.06848026,2018," $139,300 "," $185,800 "," $325,100 ",3/14/2016, 55828/  50,U,1A,I, $100 ,,1040,TWO FAMILY  ," 2,392 "," 3,790 "," 2,010 ",1900,2F,2 Family,2,2,Gable/Hip,Vinyl Siding,Hot Water,Oil,None,,4,2,0,Average
4317,ADDISON ST,107,64,30,0.10330579,2018," $167,500 "," $179,900 "," $347,400 ",12/16/1986, 13194/ 315,U,,, $-   ,Y,1040,TWO FAMILY  ," 2,362 "," 3,960 "," 2,088 ",1900,2F,2 Family,2,2,Gable/Hip,Vinyl Siding,Forced Air-Duc,Oil,None,,4,2,0,Average
4292,ADDISON ST,108,64,5,0.15406336,2018," $177,800 "," $208,600 "," $386,400 ",8/19/2005, 37843/ 056,Q,0,I," $335,000 ",,1040,TWO FAMILY  ," 2,852 "," 5,033 "," 2,284 ",1900,2F,2 Family,2,2,Flat,Vinyl Siding,Hot Water,Oil,None,,6,2,0,Average
4316,ADDISON ST,111,64,29,0.10330579,2018," $167,500 "," $292,100 "," $459,600 ",2/17/2009, 44547/ 205,U,1S,I," $229,000 ",Y,1040,TWO FAMILY  ," 3,448 "," 5,184 "," 2,974 ",1910,2F,2 Family,2,2,Gable/Hip,Vinyl Siding,Hot Water,Gas,None,,8,3,0,Average
4293,ADDISON ST,114,64,6,0.07906336,2018," $147,900 "," $324,000 "," $471,900 ",8/27/2002, 29204/ 279,U,1A,I, $1 ,Y,1050,THREE FAM," 3,717 "," 4,664 "," 3,450 ",1900,3F,3 Family,3,3,Flat,Vinyl Siding,Hot Water,Oil,None,15 Rooms,9,3,0,Average
4315,ADDISON ST,115,64,28,0.10330579,2018," $167,500 "," $181,400 "," $348,900 ",8/18/2003, 32466/ 206,U,1A,I, $1 ,,1040,TWO FAMILY  ," 2,251 "," 3,280 "," 2,000 ",1900,2F,2 Family,2,2,Flat,Vinyl Siding,Hot Water,Oil,None,,6,3,0,Average
4314,ADDISON ST,117,64,27,0.05165289,2018," $123,800 "," $159,000 "," $282,800 ",7/15/2016, 56429/ 153,U,1A,I, $1 ,,1040,TWO FAMILY  ," 2,054 "," 3,216 "," 1,878 ",1910,2F,2 Family,2,2,Gable/Hip,Aluminum Sidng,Forced Air-Duc,Oil,None,,4,2,0,Average
4294,ADDISON ST,118,64,7,0.06836547,2018," $139,200 "," $172,600 "," $311,800 ",5/3/1977,  8951/ 179,U,,, $-   ,Y,1010,Single Fam," 2,393 "," 3,854 "," 2,142 ",1900,6,Conventional,2,1,Gable/Hip,Vinyl Siding,Hot Water,Gas,None,14 Rooms,6,1,1,Average
4313,ADDISON ST,119,64,26,0.05165289,2018," $123,800 "," $229,500 "," $353,300 ",9/25/2002, 29432/ 062,U,1A,I, $1 ,Y,1050,THREE FAM," 2,470 "," 4,306 "," 2,204 ",1910,3F,3 Family,2,3,Gable/Hip,Vinyl Siding,Hot Water,Oil,None,,7,3,0,Average
4312,ADDISON ST,123,64,25,0.10330579,2018," $167,500 "," $227,500 "," $395,000 ",3/1/2006, 39124/ 136,Q,0,I," $422,500 ",Y,1050,THREE FAM," 2,458 "," 3,919 "," 2,076 ",1900,3F,3 Family,2,3,Gable/Hip,Asbest Shingle,Steam,Gas,None,,5,3,1,Average
4377,ADDISON ST,124,64,     8A,0,2018, $-   ," $157,500 "," $157,500 ",6/7/1999,C584341,Q,0,I," $50,000 ",,1021,Condo  , 815 , 815 , 815 ,1900,CA,Condo-Apt,4,1,Flat,Brick Veneer,Electr Basebrd,Electric,None,4 Rooms,2,1,0,Average
4378,ADDISON ST,124,64,     8B,0,2018, $-   ," $139,900 "," $139,900 ",8/11/2010,   212/ 071,U,1A,I," $50,000 ",,1021,Condo  , 674 , 674 , 674 ,1900,CA,Condo-Apt,4,1,Flat,Brick Veneer,Electr Basebrd,Electric,None,3 Rooms,1,1,0,Average
4379,ADDISON ST,124,64,     8C,0,2018, $-   ," $157,500 "," $157,500 ",2/11/2009,   212/ 066,U,1A,I, $1 ,,1021,Condo  , 815 , 815 , 815 ,1900,CA,Condo-Apt,4,1,Flat,Brick Veneer,Electr Basebrd,Electric,None,4 Rooms,2,1,0,Average
4380,ADDISON ST,124,64,     8D,0,2018, $-   ," $139,900 "," $139,900 ",8/21/2014,C834463,U,1N,I," $55,000 ",,1021,Condo  , 674 , 674 , 674 ,1900,CA,Condo-Apt,4,1,Flat,Brick Veneer,Electr Basebrd,Electric,None,3 Rooms,1,1,0,Average
4381,ADDISON ST,124,64,     8E,0,2018, $-   ," $157,500 "," $157,500 ",12/8/2014,C212-78,U,1A,I, $1 ,Y,1021,Condo  , 815 , 815 , 815 ,1900,CA,Condo-Apt,4,1,Flat,Brick Veneer,Electr Basebrd,Electric,None,4 Rooms,2,1,0,Average
4382,ADDISON ST,124,64,     8F,0,2018, $-   ," $157,500 "," $157,500 ",7/6/2006,U1000917,Q,0,I," $157,500 ",,1021,Condo  , 815 , 815 , 815 ,1900,CA,Condo-Apt,4,1,Flat,Brick Veneer,Electr Basebrd,Electric,None,4 Rooms,2,1,0,Average
4383,ADDISON ST,124,64,     8G,0,2018, $-   ," $157,500 "," $157,500 ",4/28/2009,   212/ 067,U,1S,I," $56,500 ",,1021,Condo  , 815 , 815 , 815 ,1900,CA,Condo-Apt,4,1,Flat,Brick Veneer,Electr Basebrd,Electric,None,4 Rooms,2,1,0,Average
4384,ADDISON ST,124,64,     8H,0,2018, $-   ," $157,500 "," $157,500 ",1/13/2011,   212/ 074,U,1S,I," $60,000 ",,1021,Condo  , 815 , 815 , 815 ,1900,CA,Condo-Apt,4,1,Flat,Brick Veneer,Electr Basebrd,Electric,None,4 Rooms,2,1,0,Average
4385,ADDISON ST,124,64,     8I,0,2018, $-   ," $157,500 "," $157,500 ",12/17/2004,DOC 693345,Q,0,I," $164,000 ",,1021,Condo  , 815 , 815 , 815 ,1900,CA,Condo-Apt,4,1,Flat,Brick Veneer,Electr Basebrd,Electric,None,4 Rooms,2,1,0,Average
4386,ADDISON ST,124,64,     8J,0,2018, $-   ," $157,500 "," $157,500 ",12/31/2009,DOC#773299,U,0,I, $1 ,,1021,Condo  , 815 , 815 , 815 ,1900,CA,Condo-Apt,4,1,Flat,Brick Veneer,Electr Basebrd,Electric,None,4 Rooms,2,1,0,Average
4387,ADDISON ST,124,64,     8K,0,2018, $-   ," $157,500 "," $157,500 ",12/10/1998,   212/ 031,Q,0,I," $53,000 ",,1021,Condo  , 815 , 815 , 815 ,1900,CA,Condo-Apt,4,1,Flat,Brick Veneer,Electr Basebrd,Electric,None,4 Rooms,2,1,0,Average
4388,ADDISON ST,124,64,     8L,0,2018, $-   ," $157,500 "," $157,500 ",6/30/2011,   212/ 076,U,1S,I," $66,549 ",,1021,Condo  , 815 , 815 , 815 ,1900,CA,Condo-Apt,4,1,Flat,Brick Veneer,Electr Basebrd,Electric,None,4 Rooms,2,1,0,Average
4389,ADDISON ST,124,64,     8M,0,2018, $-   ," $157,500 "," $157,500 ",12/15/2006,UC1001166,Q,0,I," $175,000 ",,1021,Condo  , 815 , 815 , 815 ,1900,CA,Condo-Apt,4,1,Flat,Brick Veneer,Electr Basebrd,Electric,None,4 Rooms,2,1,0,Average
4390,ADDISON ST,124,64,     8N,0,2018, $-   ," $157,500 "," $157,500 ",4/15/2011,   212/ 075,U,1A,I," $70,000 ",,1021,Condo  , 815 , 815 , 815 ,1900,CA,Condo-Apt,4,1,Flat,Brick Veneer,Electr Basebrd,Electric,None,4 Rooms,2,1,0,Average
4391,ADDISON ST,124,64,     8P,0,2018, $-   ," $157,500 "," $157,500 ",9/6/2002,DOC640556,Q,1,I," $130,000 ",Y,1021,Condo  , 815 , 815 , 815 ,1900,CA,Condo-Apt,4,1,Flat,Brick Veneer,Electr Basebrd,Electric,None,4 Rooms,2,1,0,Average
4392,ADDISON ST,124,64,     8R,0,2018, $-   ," $157,500 "," $157,500 ",12/31/2003,   212/ 054,Q,0,I," $135,000 ",,1021,Condo  , 815 , 815 , 815 ,1900,CA,Condo-Apt,4,1,Flat,Brick Veneer,Electr Basebrd,Electric,None,4 Rooms,2,1,0,Average
4311,ADDISON ST,127,64,24,0.10330579,2018," $167,500 "," $243,100 "," $410,600 ",11/6/2009, 45698/ 043,U,1O,I," $335,000 ",Y,1050,THREE FAM," 2,506 "," 3,489 "," 2,314 ",1900,3F,3 Family,3,3,Mansard,Vinyl Siding,Hot Water,Gas,None,,6,3,0,Average
